,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Craft and cooking classes,['Craft and cooking classes'],['Craft and cooking classes'],['Craft and cooking classes'],['Craft and cooking classes']
Wifi At A Charge,"['Wifi At A Charge', 'Laundry Service (At a charge)', 'WiFi at a charge']","['Wifi At A Charge', 'WiFi at a charge']","['Wifi At A Charge', 'WiFi at a charge']","['Wifi At A Charge', 'WiFi at a charge']"
Children's activities,"[""Children's pool"", ""Children's Playground"", ""Children's play area"", ""Children's entertainment"", ""Children's activities"", ""Children's club"", ""Children's Play Area""]","[""Children's Playground"", ""Children's entertainment"", ""Children's activities"", ""Children's club""]","[""Children's activities""]","[""Children's activities""]"
Lawns/gardens,"['Gardens', 'Lawns/gardens']","['Gardens', 'Lawns/gardens']","['Gardens', 'Lawns/gardens']",['Lawns/gardens']
Sailing,['Sailing'],['Sailing'],['Sailing'],['Sailing']
Convention centre,['Convention centre'],['Convention centre'],['Convention centre'],['Convention centre']
Spa and wellness centre,"['Fitness centre (nearby)', 'Health centre', 'Full-service health spa', 'Spa & Wellness Centre', 'Full-sevices health spa', 'Massage Centre', 'Spa services nearby', 'Health and fitness centre', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Fitness Centre', 'Spa services', 'Fitness centre', 'Spa']","['Spa & Wellness Centre', 'Health and fitness centre', 'Spa/Massage/Wellness', 'Spa and wellness centre']","['Spa & Wellness Centre', 'Spa and wellness centre']","['Spa & Wellness Centre', 'Spa and wellness centre']"
Pets allowed (small),"['No pets except guide dogs', 'Guide dogs allowed', 'Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']","['No pets except guide dogs', 'Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']","['Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']",['Pets allowed (small)']
House Car & Shuttle Service,"['Shuttle Service', 'Beach Shuttle Service', 'Car Rental Facility', 'Taxi service', 'Limo or Town Car service available', 'House Car & Shuttle Service', 'Courtesy Shuttle Service', 'Shuttle Service (free)', 'Car rental', 'Car rental facilities']","['Limo or Town Car service available', 'House Car & Shuttle Service']",['House Car & Shuttle Service'],['House Car & Shuttle Service']
Squash Court,"['Squash court', 'Squash Court']","['Squash court', 'Squash Court']","['Squash court', 'Squash Court']","['Squash court', 'Squash Court']"
Bathroom phone,"['Bathroom telephone', 'Bathroom phone']","['Bathroom telephone', 'Bathroom phone']","['Bathroom telephone', 'Bathroom phone']",['Bathroom phone']
Mineral Water,['Mineral Water'],['Mineral Water'],['Mineral Water'],['Mineral Water']
Fitness Centre,"['Fitness centre (nearby)', 'Sports centre', 'Health centre', 'Fitness Center', 'Spa & Wellness Centre', 'Health and fitness centre', 'Spa and wellness centre', 'Fitness Centre', 'Clark Hatch Fitness Centre', 'Fitness centre', 'Fitness centre (men only)', 'Fitness facilities']","['Fitness centre (nearby)', 'Fitness Center', 'Health and fitness centre', 'Fitness Centre', 'Fitness centre']","['Fitness centre (nearby)', 'Fitness Centre', 'Fitness centre']","['Fitness Centre', 'Fitness centre']"
Cyber cafe,['Cyber cafe'],['Cyber cafe'],['Cyber cafe'],['Cyber cafe']
Ocean View,"['Sea view', 'Sea View', 'Beach view', 'Ocean View', 'Ocean view', 'Water view', 'Lake view']","['Sea view', 'Sea View', 'Ocean View', 'Ocean view']","['Sea view', 'Sea View', 'Ocean View', 'Ocean view']","['Ocean View', 'Ocean view']"
Bell captain/porters,['Bell captain/porters'],['Bell captain/porters'],['Bell captain/porters'],['Bell captain/porters']
Dry Cleaning Service,"['Laundry Service', 'Shoe cleaning service', 'Dry cleaning/laundry service', 'Dry Cleaning', 'Dry Cleaning Service', 'Room cleaning service']","['Shoe cleaning service', 'Dry cleaning/laundry service', 'Dry Cleaning', 'Dry Cleaning Service', 'Room cleaning service']","['Dry cleaning/laundry service', 'Dry Cleaning', 'Dry Cleaning Service']","['Dry cleaning/laundry service', 'Dry Cleaning Service']"
Concierge services,"['Catering services', 'Local Expert Concierge', 'Secretarial services', 'Concierge Service', 'Concierge services', 'Spa services', 'Concierge', 'Secretarial Services']","['Concierge Service', 'Concierge services', 'Concierge']","['Concierge Service', 'Concierge services']","['Concierge Service', 'Concierge services']"
Internet centre,"['Business Centre', 'Business centre', 'Internet centre']",['Internet centre'],['Internet centre'],['Internet centre']
Soundproofed Rooms,"['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']","['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']","['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']","['Soundproofed rooms', 'Soundproofed Rooms']"
Credit cards accepted,"['Cards', 'Credit cards accepted']",['Credit cards accepted'],['Credit cards accepted'],['Credit cards accepted']
Bottled/drinking water,"['Complimentary bottled water', 'Bottled water in room(complimentary)', 'TVHot/cold Water', 'Bottled/drinking water']","['Complimentary bottled water', 'Bottled/drinking water']",['Bottled/drinking water'],['Bottled/drinking water']
Sun Beds,"['Sun Beds (pool)', 'Sun Beds', 'Sun beds']","['Sun Beds (pool)', 'Sun Beds', 'Sun beds']","['Sun Beds (pool)', 'Sun Beds', 'Sun beds']","['Sun Beds', 'Sun beds']"
Games Room,"['Board Games', 'Table games', 'Games Room', 'Games room', 'Indoor Games', 'Arcade/game room', 'Game Room', 'Video games room']","['Table games', 'Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']","['Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']","['Games Room', 'Games room', 'Game Room']"
Medical facilities,"['Medical facilities', 'Medical services', 'Health or fitness facilities', 'Medical assistance available']","['Medical facilities', 'Medical services']",['Medical facilities'],['Medical facilities']
Conference Hall,"['Conference room(s)', 'Conference & Banquet Facilities', 'Conference center', 'Conference Hall', 'Exhibition hall', 'Conference / Banquet Hall', 'One meeting/conference room']","['Conference Hall', 'Conference / Banquet Hall']","['Conference Hall', 'Conference / Banquet Hall']",['Conference Hall']
Nightclub,['Nightclub'],['Nightclub'],['Nightclub'],['Nightclub']
Fax/Photocopying,"['Photocopying', 'Fax/Photocopying', 'Fax/photocopying']","['Photocopying', 'Fax/Photocopying', 'Fax/photocopying']","['Fax/Photocopying', 'Fax/photocopying']","['Fax/Photocopying', 'Fax/photocopying']"
Meeting/Banquet Facilities,"['Meeting room', 'Conference & Banquet Facilities', 'Conference Facilities', 'Meeting facilities', 'Seminar facilities', 'Meeting/Banquet Facilities', 'Conference / Banquet Hall', 'Banquet facilities']","['Conference & Banquet Facilities', 'Conference Facilities', 'Meeting facilities', 'Meeting/Banquet Facilities', 'Banquet facilities']","['Conference & Banquet Facilities', 'Meeting facilities', 'Meeting/Banquet Facilities', 'Banquet facilities']","['Conference & Banquet Facilities', 'Meeting/Banquet Facilities']"
Wine tasting,"['Wine Cellar', 'Wine tasting', 'Wine shop']","['Wine Cellar', 'Wine tasting']",['Wine tasting'],['Wine tasting']
A suite with terrace and Fire Place,"['Attached bathroom in all the rooms', 'Lobby in the guest house', 'Breakfast in the Room', 'Well appointed bathrooms with high preassure hot and cold water and a complete range of toiletries', 'Breakfast in the room', 'A suite with terrace and Fire Place', 'In-room safe (some rooms)', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,']",['A suite with terrace and Fire Place'],['A suite with terrace and Fire Place'],['A suite with terrace and Fire Place']
Parking(valet),"['Secure parking (surcharge)', 'Valet parking', 'Parking (surcharge)', 'Free valet parking', 'Garage parking (surcharge)', 'Parking', 'Valet', 'Parking(surcharge)', 'Parking garage', 'Parking(valet)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Valet Parking', 'valet']","['Valet parking', 'Free valet parking', 'Parking', 'Valet', 'Parking(valet)', 'Valet parking (surcharge)', 'Valet Parking', 'valet']","['Valet parking', 'Free valet parking', 'Parking(valet)', 'Valet parking (surcharge)', 'Valet Parking']","['Valet parking', 'Parking(valet)', 'Valet Parking']"
24/7 Power,['24/7 Power'],['24/7 Power'],['24/7 Power'],['24/7 Power']
In-room safe (some rooms),"['Living Room', 'Attached bathroom in all the rooms', 'VIP room facilities', 'Room Service', 'Lobby in the guest house', 'Breakfast in the Room', 'Well appointed bathrooms with high preassure hot and cold water and a complete range of toiletries', 'Living Room and Bed Room', 'VIP Room Facilities', 'Breakfast in the room', 'In-room massage available', 'In room safe', 'Separate living room', 'Sofa in the room', 'Extra towels/bedding in room', 'Room service', 'A suite with terrace and Fire Place', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'Dining Room Available for groups on special arrangement', 'TVLiving Room', 'Multiple large conference rooms', 'Multiple small meeting rooms', 'Family Rooms', 'Separate dining room', 'Rooms/Facilities for Disabled Guests', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,', 'Non-smoking rooms and areas', 'In-room safe', 'No smoking rooms', 'Family rooms']","['Attached bathroom in all the rooms', 'Breakfast in the Room', 'Living Room and Bed Room', 'Breakfast in the room', 'In room safe', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,', 'In-room safe']","['Attached bathroom in all the rooms', 'In room safe', 'In-room safe (some rooms)', 'In-room safe']","['In room safe', 'In-room safe (some rooms)', 'In-room safe']"
abc,['abc'],['abc'],['abc'],['abc']
Mini bar,"['Bar', 'Mini-bar', 'Mini bar']","['Mini-bar', 'Mini bar']","['Mini-bar', 'Mini bar']","['Mini-bar', 'Mini bar']"
Travel agent,['Travel agent'],['Travel agent'],['Travel agent'],['Travel agent']
Safe at Reception / Room,"['Safe-deposit box at front desk', 'Meeting room', 'Room Service', 'Room Service, 24 Hour Reception', 'Breakfast in the Room', 'Breakfast in the room', 'In room safe', 'Reception rooms', 'Room service', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'TVLiving Room', 'Room Service, 24 Hour Reception And Laundry Service', '250 room space for double room, with Wify,', 'In-room safe']","['In room safe', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'In-room safe']",['Safe at Reception / Room'],['Safe at Reception / Room']
Common TV Room,"['Television-Room', 'TV room', 'Common TV Room']","['Television-Room', 'TV room', 'Common TV Room']","['TV room', 'Common TV Room']",['Common TV Room']
Water park access (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Water Park', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Water park access (complimentary)', 'Water park access (surcharge)', 'Parking nearby (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Water park access (complimentary)', 'Water park access (surcharge)']","['Water park access (complimentary)', 'Water park access (surcharge)']",['Water park access (surcharge)']
Wifi EnabledFireplace,"['Free WiFi Internet Connectivity', 'Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Wifi Enabled', 'Chargeable WiFi Internet Connectivity', 'Wifi EnabledFireplace', 'WiFi', 'WiFi Internet']","['Internet / Wifi', 'Wifi Enabled', 'Wifi EnabledFireplace', 'WiFi', 'WiFi Internet']","['Wifi EnabledFireplace', 'WiFi']","['Wifi EnabledFireplace', 'WiFi']"
Teahouse,['Teahouse'],['Teahouse'],['Teahouse'],['Teahouse']
Currency Exchange,"['Currency Exchange', 'Currency exchange']","['Currency Exchange', 'Currency exchange']","['Currency Exchange', 'Currency exchange']","['Currency Exchange', 'Currency exchange']"
ESPN,['ESPN'],['ESPN'],['ESPN'],['ESPN']
Hot Tub,"['Hot tub', 'Bath Tub', 'Shower/tub combination', 'Hot Spring Bath', 'Hot Water', 'Hot Tub', 'Hot pools', 'hot water']","['Hot tub', 'Hot Tub']","['Hot tub', 'Hot Tub']","['Hot tub', 'Hot Tub']"
Safety deposit box,"['Safe-deposit box at front desk', 'Safety Deposit Lockers', 'Safety deposit box', 'Security deposit required', 'Safety Deposit Box']","['Safety Deposit Lockers', 'Safety deposit box', 'Safety Deposit Box']","['Safety deposit box', 'Safety Deposit Box']","['Safety deposit box', 'Safety Deposit Box']"
Puppet show,['Puppet show'],['Puppet show'],['Puppet show'],['Puppet show']
Separate sitting area,"['Separate living room', 'Separate Dinning area', 'Separate sitting area', 'Separate dining area']","['Separate Dinning area', 'Separate sitting area', 'Separate dining area']",['Separate sitting area'],['Separate sitting area']
Newspaper,"['Newspapers', 'Daily Newspaper', 'Newspaper', 'TVDaily Newspaper']","['Daily Newspaper', 'Newspaper', 'TVDaily Newspaper']","['Newspaper', 'TVDaily Newspaper']","['Newspaper', 'TVDaily Newspaper']"
Free on-street parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free guest parking during stay', 'Free Parking', 'Parking (free)', 'Free self parking']","['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free garage parking', 'Free on-street parking', 'Free Parking', 'Parking (free)']","['Parking(free)', 'Free on-street parking', 'Free Parking', 'Parking (free)']",['Free on-street parking']
Travel Assistance,"['Travel deskac', 'Travel agency facilities', 'Travel Assistance']",['Travel Assistance'],['Travel Assistance'],['Travel Assistance']
Video library,"['Music library', 'Video library', 'Library']",['Video library'],['Video library'],['Video library']
Beach umbrellas,"['Umbrellas', 'Beach umbrellas', 'Beach towels', 'Beach/pool umbrellas', 'Beach sun loungers']","['Beach umbrellas', 'Beach/pool umbrellas', 'Beach sun loungers']","['Beach umbrellas', 'Beach/pool umbrellas']",['Beach umbrellas']
Airconditioning in Bedrooms,['Airconditioning in Bedrooms'],['Airconditioning in Bedrooms'],['Airconditioning in Bedrooms'],['Airconditioning in Bedrooms']
Designer toiletries,"['TVBathroom Toiletries', 'Designer toiletries']",['Designer toiletries'],['Designer toiletries'],['Designer toiletries']
Clark Hatch Fitness Centre,"['Fitness Centre', 'Clark Hatch Fitness Centre', 'Fitness centre']",['Clark Hatch Fitness Centre'],['Clark Hatch Fitness Centre'],['Clark Hatch Fitness Centre']
Tour desk,"['Tour desk', 'Tour Desk']","['Tour desk', 'Tour Desk']","['Tour desk', 'Tour Desk']","['Tour desk', 'Tour Desk']"
Fax Machine,"['Fax Machine', 'Telephone/fax machine', 'Fax, Scanner & Printer Machine']","['Fax Machine', 'Telephone/fax machine', 'Fax, Scanner & Printer Machine']","['Fax Machine', 'Telephone/fax machine']",['Fax Machine']
Swiming Pool,"['Swimming pools', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Swiming Pool', 'Kiddy Swimming Pool']","['Swimming pools', 'Swimming pool', 'Swimming Pool', 'Swiming Pool', 'Kiddy Swimming Pool']",['Swiming Pool'],['Swiming Pool']
Iron/Iron board,"['Iron/ironing board', 'Iron', 'Iron/ironing board (on request)', 'Iron/Iron board', 'Iron/ironing board(on request)']","['Iron/ironing board', 'Iron', 'Iron/Iron board']","['Iron', 'Iron/Iron board']",['Iron/Iron board']
Spa services,"['Spa services on site - Chargeable', 'Catering services', 'Full-service health spa', 'Spa services on site', 'Spa services onsite - Free', 'Spa & Wellness Centre', 'Full-sevices health spa', 'Private spa pools', 'Spa services nearby', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Concierge services', 'Spa services', 'Beauty services', 'Spa']","['Full-service health spa', 'Spa services on site', 'Spa services onsite - Free', 'Full-sevices health spa', 'Spa services nearby', 'Spa services']","['Spa services onsite - Free', 'Spa services nearby', 'Spa services']",['Spa services']
Hot pools,"['Swimming pools', 'Hot tub', 'Hot Water', 'Hot Tub', 'Hot pools', 'hot water']",['Hot pools'],['Hot pools'],['Hot pools']
Meditation,"['Meditation', 'Yoga Meditation Centre']","['Meditation', 'Yoga Meditation Centre']",['Meditation'],['Meditation']
Video conferencing,['Video conferencing'],['Video conferencing'],['Video conferencing'],['Video conferencing']
Cigarette Basket,['Cigarette Basket'],['Cigarette Basket'],['Cigarette Basket'],['Cigarette Basket']
Airport transportation (surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Shuttle Service (surcharge)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Parking (surcharge)', 'Airport transportation free', 'Airport transportation', 'Parking(surcharge)', 'Cruise terminal shuttle (surcharge)', 'Airport transportation (surcharge)', 'Transportation', 'Airport Shuttle', 'Airport transportation - drop-off (surcharge)', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']","['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport transportation (surcharge)', 'Airport transportation - drop-off (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']","['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation (complimentary)', 'Airport transportation', 'Airport transportation (surcharge)', 'Airport transportation - drop-off (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']","['Airport transportation(surcharge)', 'Airport transportation (surcharge)', 'Airport transportation - pickup (surcharge)']"
Boardroom,['Boardroom'],['Boardroom'],['Boardroom'],['Boardroom']
Free WiFi Internet,"['Free WiFi Internet Connectivity', 'Free Internet', 'Free Use Of Wifi In Lobby', 'Internet / Wifi', 'Free wired high-speed Internet', 'Chargeable WiFi Internet', 'Free Wi-Fi Internet Access Included', 'WiFi Internet Connectivity', 'Broadband Internet Connection', 'Wired Internet', 'Chargeable WiFi Internet Connectivity', 'Free WiFi Internet', 'Broadband Internet', 'Free high-speed Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Wireless Internet access (surcharge)', 'Internet access-complimentary', 'Wireless Internet access - surcharge', 'WiFi Internet']","['Free WiFi Internet Connectivity', 'Free Internet', 'Internet / Wifi', 'WiFi Internet Connectivity', 'Free WiFi Internet', 'WiFi Internet']","['Free WiFi Internet Connectivity', 'Free Internet', 'Internet / Wifi', 'Free WiFi Internet', 'WiFi Internet']","['Free WiFi Internet Connectivity', 'Free WiFi Internet']"
spit AC,['spit AC'],['spit AC'],['spit AC'],['spit AC']
Exhibition hall,"['Conference Hall', 'Exhibition hall']",['Exhibition hall'],['Exhibition hall'],['Exhibition hall']
Study / Office,['Study / Office'],['Study / Office'],['Study / Office'],['Study / Office']
Executive floor,"['Executive Lounge', 'Executive floor']",['Executive floor'],['Executive floor'],['Executive floor']
Private Garden,"['Pool or Garden View', 'Garden or Pool View', 'Garden', 'Private Garden', 'Private Pool', 'Garden terrace']",['Private Garden'],['Private Garden'],['Private Garden']
King Bed,"['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']","['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']","['king bed', 'King or Twin Bed', 'King Bed']","['king bed', 'King Bed']"
Sun beds,"['Sun Beds (pool)', 'Sun Beds', 'Sun beds']","['Sun Beds (pool)', 'Sun Beds', 'Sun beds']","['Sun Beds (pool)', 'Sun Beds', 'Sun beds']","['Sun Beds', 'Sun beds']"
Tea/Coffee maker in the Room,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Breakfast in the Room', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Breakfast in the room', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee Shop', 'Coffee/tea in lobby', 'Tea/Coffee Maker']","['Tea coffee maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']","['Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby']","['Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/Coffee maker in the Room']"
Private Pool,"['Private Beach Area', 'Private spa tub', 'Pool View', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Private beach', 'Private plunge pool', 'Pool Terrace', 'Private spa pools', 'Pool view', 'Swimming pool - outdoor', 'Private Garden', 'Private Pool', 'Private bathroom']","['Private beach', 'Private plunge pool', 'Private spa pools', 'Private Pool']","['Private plunge pool', 'Private spa pools', 'Private Pool']",['Private Pool']
Beauty services,"['Spa services', 'Beauty services']",['Beauty services'],['Beauty services'],['Beauty services']
Indoor Entertainment/disc,['Indoor Entertainment/disc'],['Indoor Entertainment/disc'],['Indoor Entertainment/disc'],['Indoor Entertainment/disc']
First-run movies,['First-run movies'],['First-run movies'],['First-run movies'],['First-run movies']
Garden view,"['Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Garden', 'Garden view', 'Garden terrace', 'Courtyard view', 'Courtyard View']","['Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Garden view']","['Garden View', 'Garden view']","['Garden View', 'Garden view']"
Coffee Shop,"['Tea coffee maker', 'TVTea/Coffee Maker', '24-hour Coffee Shop', 'Coffee Maker', 'Shop', 'Coffee shop or caf', 'Tea/coffee Maker', '24-hr Coffee Shop', 'Tea / Coffee Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee Shop', 'Coffee/tea in lobby', '24 hour coffee shop', 'Wine shop', 'Tea/Coffee Maker']","['Coffee shop or caf', 'Coffee Shop']","['Coffee shop or caf', 'Coffee Shop']",['Coffee Shop']
Computer station,['Computer station'],['Computer station'],['Computer station'],['Computer station']
Elevator/lift,"['Elevator/lift attendant', 'Lift / Elevator', 'Lift/elevator', 'Elevator/lift', 'Elevator']","['Elevator/lift attendant', 'Lift / Elevator', 'Lift/elevator', 'Elevator/lift', 'Elevator']","['Elevator/lift attendant', 'Lift / Elevator', 'Lift/elevator', 'Elevator/lift']","['Lift / Elevator', 'Lift/elevator', 'Elevator/lift']"
Restaurant (à la carte),"['Restaurant (Ã\xa0 la carte)', 'Restaurant (à la carte)']","['Restaurant (Ã\xa0 la carte)', 'Restaurant (à la carte)']",['Restaurant (à la carte)'],['Restaurant (à la carte)']
Security deposit required,"['Safety deposit box', 'Security deposit required', 'Safety Deposit Box']",['Security deposit required'],['Security deposit required'],['Security deposit required']
Cell phone/mobile rental,"['Mobile phone hire', 'Cell phone/mobile rental', 'Cell phone rental', 'Phone']","['Mobile phone hire', 'Cell phone/mobile rental', 'Cell phone rental', 'Phone']","['Mobile phone hire', 'Cell phone/mobile rental', 'Cell phone rental']","['Cell phone/mobile rental', 'Cell phone rental']"
Entertainment Staff,"['Entertainment Staff', 'Entertainment staff']","['Entertainment Staff', 'Entertainment staff']","['Entertainment Staff', 'Entertainment staff']","['Entertainment Staff', 'Entertainment staff']"
Cardio theatre,['Cardio theatre'],['Cardio theatre'],['Cardio theatre'],['Cardio theatre']
hot water,"['Hot tub', 'Hot and cold running water available 24 hrs', 'TVHot/cold Water', 'Hot & Cold water', 'Hot Water', '24-hrs Hot & Cold Water', 'Hot Tub', 'Hot pools', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water', 'TVHot & Cold Running Water']","['TVHot/cold Water', 'Hot & Cold water', 'Hot Water', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water']","['Hot & Cold water', 'Hot Water', 'hot water', 'Hot & Cold Running Water', 'Hot/cold Water']","['Hot & Cold water', 'Hot Water', 'hot water', 'Hot/cold Water']"
Laundry Service (At a charge),"['24 hour room service', 'Laundry Service Same Day', 'Room Service', 'Laundry Service', 'Room service', 'Wifi At A Charge', 'Laundry Service (At a charge)', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room cleaning service', 'Room service(limited hours)', '24-hour Room Service', 'WiFi at a charge']","['Laundry Service Same Day', 'Laundry Service (At a charge)', 'Room Service, 24 Hour Reception And Laundry Service']",['Laundry Service (At a charge)'],['Laundry Service (At a charge)']
Electronic Locking,"['Electronic Locking', 'Electronic/magnetic keys']",['Electronic Locking'],['Electronic Locking'],['Electronic Locking']
Catering,"['Catering services', 'Catering', 'Event catering']","['Catering services', 'Catering']",['Catering'],['Catering']
Fireplace,"['Fireplace in lobby', 'Fireplace']",['Fireplace'],['Fireplace'],['Fireplace']
Geyser in the Bathroom,"['Attached bathroom in all the rooms', 'Toiletries in the Bathroom', 'Geyser in the Bathroom', 'Geyser In Bathroom', 'Toiletries In The Bathroom']","['Geyser in the Bathroom', 'Geyser In Bathroom']","['Geyser in the Bathroom', 'Geyser In Bathroom']","['Geyser in the Bathroom', 'Geyser In Bathroom']"
CD Player,"['DVD Player', 'CD Player']","['DVD Player', 'CD Player']","['DVD Player', 'CD Player']",['CD Player']
Automatic telephone wake-up call service,"['Wake up call service on request', 'Wake up call', 'Automatic telephone wake-up call service', '3 Telephones with global direct dial and voice mail', 'Automatic wake-up call']","['Wake up call service on request', 'Automatic telephone wake-up call service', 'Automatic wake-up call']","['Wake up call service on request', 'Automatic telephone wake-up call service', 'Automatic wake-up call']",['Automatic telephone wake-up call service']
Entertainment (nearby),['Entertainment (nearby)'],['Entertainment (nearby)'],['Entertainment (nearby)'],['Entertainment (nearby)']
Internet access (on request),"['High speed Internet access', 'Wake up call service on request', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Internet access (fees may apply)', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Internet access (on request)', 'Free high-speed Internet access', 'Internet access-dial-up', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Internet access (fees may apply)', 'Internet access (on request)', 'Internet access-dial-up', 'Internet access', 'Internet access-complimentary']","['Internet access (on request)', 'Internet access']",['Internet access (on request)']
Pay movies,"[""Pay 'n' Play Movies"", 'Pay movies']","[""Pay 'n' Play Movies"", 'Pay movies']",['Pay movies'],['Pay movies']
Disabled Facilities,"['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']","['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']","['Disabled facilities', 'Disabled Facilities']","['Disabled facilities', 'Disabled Facilities']"
Herbal treatment,['Herbal treatment'],['Herbal treatment'],['Herbal treatment'],['Herbal treatment']
Shower Caps,"['Shower', 'Shower Caps']",['Shower Caps'],['Shower Caps'],['Shower Caps']
Backup generator,['Backup generator'],['Backup generator'],['Backup generator'],['Backup generator']
Magnifying Mirror,['Magnifying Mirror'],['Magnifying Mirror'],['Magnifying Mirror'],['Magnifying Mirror']
Breakfast buffet,"['Continental Breakfast', 'Breakfast Buffet', 'Breakfast service', 'Breakfast Room', 'Breakfast buffet', 'breakfast', 'Restaurant (buffet)', 'Complimentary Breakfast', 'Continental breakfast']","['Continental Breakfast', 'Breakfast Buffet', 'Breakfast Room', 'Breakfast buffet', 'breakfast', 'Restaurant (buffet)', 'Complimentary Breakfast', 'Continental breakfast']","['Breakfast Buffet', 'Breakfast buffet', 'breakfast']","['Breakfast Buffet', 'Breakfast buffet']"
Telescopes,['Telescopes'],['Telescopes'],['Telescopes'],['Telescopes']
